location,continent,population,life_expectancy,hospital_beds_per_thousand,gdp_per_capita,gdp,total_cases,total_deaths,total_tests,tests_per_million,cases_per_million,deaths_per_million
Croatia,Europe,4105268.0,78.49,5.54,22669.797,93065592190.596,10725.0,191.0,175346.0,4271243.680071557,261249.69185933782,4652.558614930865
Cuba,North America,11326616.0,78.8,5.2,,,4126.0,98.0,403181.0,3559589.2012230307,36427.4731305449,865.2187025674747
Curacao,North America,164100.0,78.88,,,,68.0,1.0,,,41438.14747105424,609.3845216331505
Cyprus,Europe,875899.0,80.98,3.4,32415.132,28392381703.668003,1495.0,21.0,,,170681.77952024149,2397.5367022910177
Czech Republic,Europe,10708982.0,79.38,6.63,32605.906000000003,349176060447.692,25773.0,425.0,910872.0,8505682.426210074,240667.13343994788,3968.6311920218
Democratic Republic of Congo,Africa,89561404.0,60.68,,808.133,72377526098.73201,10113.0,258.0,,,11291.694355305104,288.07051751890805
Denmark,Europe,5792203.0,80.9,2.5,46682.515,270394603430.54498,17195.0,626.0,2447911.0,42262175.548750624,296864.5953879724,10807.632260126242
Djibouti,Africa,988002.0,67.11,1.4,2705.406,2672946538.812,5387.0,60.0,,,545241.8112513942,6072.862200683804
Dominica,North America,71991.0,75.0,3.8,9673.367,696395363.697,20.0,0.0,,,27781.250434082038,0.0
Dominican Republic,North America,10847904.0,74.08,1.6,14600.861,158388738445.344,95627.0,1765.0,,,881525.1314908392,16270.424222043262
Ecuador,South America,17643060.0,77.01,1.5,10581.936000000002,186697731764.16003,115457.0,6619.0,258266.0,1463839.0392596296,654404.6214205472,37516.16783029701
Egypt,Africa,102334403.0,71.99,1.6,10550.206,1079649032537.0181,99280.0,5461.0,,,97015.27256674376,5336.426304260553
El Salvador,North America,6486201.0,73.32,1.3,7292.458,47300348372.058,25904.0,739.0,310444.0,4786222.320276538,399370.9106455381,11393.41811948165
Equatorial Guinea,Africa,1402985.0,58.74,2.1,22604.873,31714297745.905,4965.0,83.0,,,353888.3166961871,5915.957761487115
Eritrea,Africa,3546427.0,66.32,0.7,1510.4589999999998,5356732579.992999,319.0,0.0,,,8994.968738958958,0.0
Estonia,Europe,1326539.0,78.74,4.69,29481.252,39108030546.828,2415.0,64.0,151940.0,11453866.037862437,182052.69502065147,4824.584878394076
Ethiopia,Africa,114963583.0,66.6,0.3,1729.927,198878606248.44098,54409.0,846.0,869430.0,756265.5732467907,47327.160984535425,735.8852063613919
Faeroe Islands,Europe,48865.0,80.67,,,,411.0,0.0,,,841092.8067123708,0.0
Falkland Islands,South America,3483.0,81.44,,,,13.0,0.0,,,373241.45851277636,0.0
Fiji,Oceania,896444.0,67.44,2.3,8702.975,7801729720.900001,29.0,2.0,8408.0,937928.0802816461,3235.004082798256,223.1037298481556
Finland,Europe,5540718.0,81.91,3.28,40585.721,224874034887.67798,8161.0,336.0,688714.0,12430049.679481974,147291.37992585078,6064.196012141387
France,Europe,65273512.0,82.66,5.98,38605.671,2519927729286.5522,293024.0,30686.0,,,448917.1656643816,47011.41253131898
French Polynesia,Oceania,280904.0,77.66,,,,596.0,0.0,,,212172.12998034916,0.0
Gabon,Africa,2225728.0,66.47,6.3,16562.413,36863426361.664,8538.0,53.0,,,383604.8250280358,2381.2433504902665
Gambia,Africa,2416664.0,62.05,1.1,1561.767,3774266085.288,3067.0,97.0,,,126910.48486674193,4013.7975324662425
Georgia,Asia,3989175.0,73.77,2.6,9745.079,38874825519.825,1548.0,19.0,,,38805.0160747523,476.2889569898538
Germany,Europe,83783945.0,81.33,8.0,45229.245,3789484575471.5254,246116.0,9321.0,11208091.0,13377373.194828674,293750.7896053355,11125.043109392856
Ghana,Africa,31072945.0,64.07,0.9,4227.63,131364914470.35,44658.0,276.0,442185.0,1423054.686319562,143719.88236068387,888.2325122385406
Gibraltar,Europe,33691.0,79.93,,,,295.0,0.0,,,875604.760915378,0.0
Greece,Europe,10423056.0,82.24,4.21,24574.382,256140159751.39203,10757.0,273.0,966346.0,9271234.847054454,103203.89720634716,2619.193449598659
