location,continent,population,life_expectancy,hospital_beds_per_thousand,gdp_per_capita,gdp
Uganda,Africa,45741000.0,63.37,0.5,1697.707,77654815887.0
Ukraine,Europe,43733759.0,72.06,8.8,7894.393,345251480913.287
United Arab Emirates,Asia,9890400.0,77.97,1.2,67293.483,665559464263.2
United Kingdom,Europe,67886004.0,81.32,2.54,39753.244,2698688881196.976
United States,North America,331002647.0,78.86,2.77,54225.446,17948766160755.562
United States Virgin Islands,North America,104423.0,80.58,,,
Uruguay,South America,3473727.0,77.91,2.8,20551.409,71389984331.343
Uzbekistan,Asia,33469199.0,71.72,4.0,6253.104,209286382143.696
Vatican,Europe,809.0,75.12,,,
Venezuela,South America,28435943.0,72.06,0.8,16745.022,476160491125.74603
Vietnam,Asia,97338583.0,75.4,2.6,6171.884,600762443000.372
Western Sahara,Africa,597330.0,70.26,,,
Yemen,Asia,29825968.0,66.12,0.7,1479.1470000000002,44116991089.296005
Zambia,Africa,18383956.0,63.89,2.0,3689.251,67823028056.956
Zimbabwe,Africa,14862927.0,61.49,1.7,1899.775,28236217141.425003
